Paragraph,CF – Contribution flow,CT – Choose a task,FM – Find a mentor,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,University,Author,Filename,Paragraph Index,Document
"Status
------
Version 4 is now released and stable. Updates are released periodically with new features and bug fixes.

Comments/bugs/questions/pull requests are always welcome! Please read [CONTRIBUTING.md][5] on how to report issues.",1,1,0,0,0,0,1,ufpa,group_h,bumptech_glide.xlsx,12,README
"Compatibility
-------------

 * **Minimum Android SDK**: Glide v4 requires a minimum API level of 14.
 * **Compile Android SDK**: Glide v4 requires you to compile against API 26 or later.

 If you need to support older versions of Android, consider staying on [Glide v3][14], which works on API 10, but is not actively maintained.

 * **OkHttp 3.x**: There is an optional dependency available called `okhttp3-integration`, see the [docs page][23].
 * **Volley**: There is an optional dependency available called `volley-integration`, see the [docs page][24].
 * **Round Pictures**: `CircleImageView`/`CircularImageView`/`RoundedImageView` are known to have [issues][18] with `TransitionDrawable` (`.crossFade()` with `.thumbnail()` or `.placeholder()`) and animated GIFs, use a [`BitmapTransformation`][19] (`.circleCrop()` will be available in v4) or `.dontAnimate()` to fix the issue.
 * **Huge Images** (maps, comic strips): Glide can load huge images by downsampling them, but does not support zooming and panning `ImageView`s as they require special resource optimizations (such as tiling) to work without `OutOfMemoryError`s.",0,0,0,0,1,0,0,ufpa,group_h,bumptech_glide.xlsx,13,README
"Build
-----
Building Glide with gradle is fairly straight forward:

```shell
git clone https://github.com/bumptech/glide.git
cd glide
./gradlew jar
```

**Note**: Make sure your *Android SDK* has the *Android Support Repository* installed, and that your `$ANDROID_HOME` environment
variable is pointing at the SDK or add a `local.properties` file in the root project with a `sdk.dir=...` line.",0,0,0,0,1,0,0,ufpa,group_h,bumptech_glide.xlsx,14,README
"Samples
-------
Follow the steps in the [Build](#build) section to set up the project and then:

```shell
./gradlew :samples:flickr:run
./gradlew :samples:giphy:run
./gradlew :samples:svg:run
./gradlew :samples:contacturi:run
```
You may also find precompiled APKs on the [releases page][1].",0,0,0,0,1,0,0,ufpa,group_h,bumptech_glide.xlsx,15,README
"Development
-----------
Follow the steps in the [Build](#build) section to setup the project and then edit the files however you wish.
[Android Studio][26] cleanly imports both Glide's source and tests and is the recommended way to work with Glide.",0,0,0,0,1,0,0,ufpa,group_h,bumptech_glide.xlsx,16,README
"To open the project in Android Studio:

1. Go to *File* menu or the *Welcome Screen*
2. Click on *Open...*
3. Navigate to Glide's root directory.
4. Select `setting.gradle`

For more details, see the [Contributing docs page][27].",0,0,0,0,1,0,0,ufpa,group_h,bumptech_glide.xlsx,17,README
"Getting Help
------------
To report a specific problem or feature request, [open a new issue on Github][5]. For questions, suggestions, or
anything else, email [Glide's discussion group][6], or join our IRC channel: [irc.freenode.net#glide-library][13].",0,0,0,1,0,0,0,ufpa,group_h,bumptech_glide.xlsx,18,README
"Contributing
------------
Before submitting pull requests, contributors must sign Google's [individual contributor license agreement][7].",1,0,0,0,0,0,1,ufpa,group_h,bumptech_glide.xlsx,19,README
"Thanks
------
* The **Android team** and **Jake Wharton** for the [disk cache implementation][8] Glide's disk cache is based on.
* **Dave Smith** for the [GIF decoder gist][9] Glide's GIF decoder is based on.
* **Chris Banes** for his [gradle-mvn-push][10] script.
* **Corey Hall** for Glide's [amazing logo][11].
* Everyone who has contributed code and reported issues!",0,0,1,0,0,0,0,ufpa,group_h,bumptech_glide.xlsx,20,README
"Author
------
Sam Judd - @sjudd on GitHub, @samajudd on Twitter",0,0,1,0,0,0,0,ufpa,group_h,bumptech_glide.xlsx,21,README
"License
-------
BSD, part MIT and Apache 2.0. See the [LICENSE][16] file for details.",0,0,0,0,0,0,0,ufpa,group_h,bumptech_glide.xlsx,22,README
"Disclaimer
---------
This is not an official Google product.

[1]: https://github.com/bumptech/glide/releases
[2]: https://github.com/bumptech/glide/wiki
[3]: https://bumptech.github.io/glide/ref/javadocs.html
[4]: https://www.jetbrains.com/idea/download/
[5]: https://github.com/bumptech/glide/blob/master/CONTRIBUTING.md
[6]: https://groups.google.com/forum/#!forum/glidelibrary
[7]: https://developers.google.com/open-source/cla/individual
[8]: https://github.com/JakeWharton/DiskLruCache
[9]: https://gist.github.com/devunwired/4479231
[10]: https://github.com/chrisbanes/gradle-mvn-push
[11]: static/glide_logo.png
[12]: https://github.com/bumptech/glide/wiki/Integration-Libraries
[13]: http://webchat.freenode.net/?channels=glide-library
[14]: https://github.com/bumptech/glide/tree/3.0
[15]: https://github.com/bumptech/glide/tree/master
[16]: https://github.com/bumptech/glide/blob/master/LICENSE
[17]: http://bumptech.github.io/glide/dev/snapshots.html
[18]: https://github.com/bumptech/glide/issues?q=is%3Aissue+CircleImageView+OR+CircularImageView+OR+RoundedImageView
[19]: https://github.com/wasabeef/glide-transformations
[20]: https://bumptech.github.io/glide/
[22]: https://muyangmin.github.io/glide-docs-cn/
[23]: http://bumptech.github.io/glide/int/okhttp3.html
[24]: http://bumptech.github.io/glide/int/volley.html
[25]: http://bumptech.github.io/glide/doc/download-setup.html#proguard
[26]: https://developer.android.com/studio/index.html
[27]: http://bumptech.github.io/glide/dev/contributing.html
[28]: http://bumptech.github.io/glide/doc/download-setup.html
",0,0,0,0,0,0,0,ufpa,group_h,bumptech_glide.xlsx,23,README
"# Contributing
Contributions of all types are welcome.
We use GitHub as our bug and feature tracker both for code and for other aspects of the library (documentation, the wiki, etc.).",1,0,0,0,0,0,0,ufpa,group_h,bumptech_glide.xlsx,2,CONTRIBUTING
"## Asking Questions
The best way to ask general questions is to send an email to our [mailing list][2], or join [#glide-library on freenode.org][3].",0,0,0,1,0,0,0,ufpa,group_h,bumptech_glide.xlsx,3,CONTRIBUTING
"## Filing issues
When in doubt, file an issue. We'd rather close a few duplicate issues than let a problem go unnoticed.
Similarly if you support a particular feature request, feel free to let us know by commenting on the issue or [subscribing][6] to the issue.",0,0,0,0,0,0,1,ufpa,group_h,bumptech_glide.xlsx,4,CONTRIBUTING
"To file a new issue, please use our issue template and fill out the template as much as possible (remove irrelevant parts).
The more information you can provide, the more likely we are to be able help.",0,0,0,0,0,0,1,ufpa,group_h,bumptech_glide.xlsx,5,CONTRIBUTING
"## Contributing code
Pull requests are welcome for all parts of the codebase, especially the integration libraries.
You can find instructions on building the project in [README.md][5].
Our code style is defined in Intellij project files in the repo and also by our Checkstyle config.",0,0,0,0,0,1,0,ufpa,group_h,bumptech_glide.xlsx,6,CONTRIBUTING
"If you'd like to submit code, but can't get the style checks to pass, feel free to put up your pull request anyway and we can help you fix the style issues.",0,0,0,0,0,1,1,ufpa,group_h,bumptech_glide.xlsx,7,CONTRIBUTING
"If you'd like to contribute code, you will need to sign [Google's individual contributor license agreement][4] which will be asked when you create the PR by [googlebot](https://github.com/googlebot) should you forget it.",1,0,0,0,0,0,0,ufpa,group_h,bumptech_glide.xlsx,8,CONTRIBUTING
"## Labels
Labels on issues are managed by contributors, you don't have to worry about them. Here's a list of what they mean:

 * **bug**: feature that should work, but doesn't
 * **enhancement**: minor tweak/addition to existing behavior
 * **feature**: new behavior, bigger than enhancement, it gives more bang to Glide
 * **question**: no need to modify Glide to fix the issue, usually a usage problem
 * **reproducible**: has enough information to very easily reproduce, mostly in form of a small project in a GitHub repo
 * **repro-needed**: we need some code to be able to reproduce and debug locally, otherwise there's not much we can do
 * **duplicate**: there's another issue which already covers/tracks this
 * **wontfix**: working as intended, or won't be fixed due to compatibility or other reasons
 * **invalid**: there isn't enough information to make a verdict, or unrelated to Glide
 * **non-library**: issue is not in the core library code, but rather in documentation, samples, build process, releases
 * **v4**: problem originated in v4, or question about v4 (while v3 is in wide use)

*bug + enhancement: feature that doesn't work, but it's an edge case that either has a workaround or doesn't affect many users*",0,1,0,0,0,0,0,ufpa,group_h,bumptech_glide.xlsx,9,CONTRIBUTING
"[1]: https://github.com/bumptech/glide/issues/new?body=**Glide%20Version**%3A%0A**Integration%20libraries**%3A%0A**Device/Android%20Version**%3A%0A**Issue%20details%20/%20Repro%20steps%20/%20Use%20case%20background**%3A%0A%0A**Glide%20load%20line**%3A%0A%60%60%60java%0AGlide.with%28...%29.....load%28...%29.....into%28...%29%3B%0A%60%60%60%0A%0A**Layout%20XML**%3A%0A%60%60%60xml%0A%3C...Layout%3E%0A%20%20%20%20%3CImageView%20android%3AscaleType%3D%22...%22%20...%20/%3E%0A%3C/..Layout%3E%0A%60%60%60%0A%0A**Stack%20trace%20/%20LogCat**%3A%0A%60%60%60ruby%0Apaste%20stack%20trace%20here%0A%60%60%60
[2]: https://groups.google.com/forum/#!forum/glidelibrary
[3]: http://webchat.freenode.net/?channels=glide-library
[4]: https://developers.google.com/open-source/cla/individual
[5]: https://github.com/bumptech/glide
[6]: https://help.github.com/articles/subscribing-to-conversations/
",0,0,0,1,0,0,0,ufpa,group_h,bumptech_glide.xlsx,10,CONTRIBUTING
"Backbone supplies structure to JavaScript-heavy applications by providing models with key-value binding and custom events, collections with a rich API of enumerable functions, views with declarative event handling, and connects it all to your existing application over a RESTful JSON interface.",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,2,README
"For Docs, License, Tests, pre-packed downloads, and everything else, really, see:
http://backbonejs.org",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,3,README
"To suggest a feature or report a bug:
https://github.com/jashkenas/backbone/issues",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,4,README
"For questions on working with Backbone or general discussions:
https://groups.google.com/forum/#!forum/backbonejs,
http://stackoverflow.com/questions/tagged/backbone.js, or
https://gitter.im/jashkenas/backbone",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,5,README
"Backbone is an open-sourced component of DocumentCloud:
https://github.com/",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,6,README
"Many thanks to our contributors:
https://github.com/jashkenas/backbone/graphs/contributors",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,7,README
"Special thanks to Robert Kieffer for the original philosophy behind Backbone.
https://github.com/broofa",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,8,README
"## How to Open a Backbone.js Ticket

* Do not use tickets to ask for help with (debugging) your application. Ask on
the [mailing list](https://groups.google.com/forum/#!forum/backbonejs), 
in the IRC channel (`#documentcloud` on Freenode), or if you understand your 
specific problem, on [StackOverflow](http://stackoverflow.com/questions/tagged/backbone.js).",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,2,CONTRIBUTING
"* Before you open a ticket or send a pull request,
[search](https://github.com/jashkenas/backbone/issues) for previous
discussions about the same feature or issue. Add to the earlier ticket if you
find one.",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,3,CONTRIBUTING
"* Before sending a pull request for a feature or bug fix, be sure to have
[tests](http://backbonejs.org/test/).",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,4,CONTRIBUTING
"* Use the same coding style as the rest of the
[codebase](https://github.com/jashkenas/backbone/blob/master/backbone.js).",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,5,CONTRIBUTING
"* In your pull request, do not add documentation or rebuild the minified
`backbone-min.js` file. We'll do that before cutting a new release.",0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,6,CONTRIBUTING
* All pull requests should be made to the `master` branch.,0,0,0,0,0,0,0,ufpa,group_w,jashkenas_backbone.xlsx,7,CONTRIBUTING
"##########
django CMS
##########
.. image:: https://travis-ci.org/divio/django-cms.svg?branch=develop
    :target: https://travis-ci.org/divio/django-cms
.. image:: https://img.shields.io/pypi/v/django-cms.svg
    :target: https://pypi.python.org/pypi/django-cms/
.. image:: https://img.shields.io/badge/wheel-yes-green.svg
    :target: https://pypi.python.org/pypi/django-cms/
.. image:: https://img.shields.io/pypi/l/django-cms.svg
    :target: https://pypi.python.org/pypi/django-cms/
.. image:: https://codeclimate.com/github/divio/django-cms/badges/gpa.svg
   :target: https://codeclimate.com/github/divio/django-cms
   :alt: Code Climate",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,2,README
"Open source enterprise content management system based on the Django framework.

.. image:: https://raw.githubusercontent.com/divio/django-cms/develop/docs/images/try-with-divio.png
   :target: http://try.django-cms.org/
   :alt: Try demo with Divio Cloud",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,3,README
".. ATTENTION::

    To propose **significant new features**, open pull requests based on and made against the **develop** branch. It's
    the branch for features that will go into the next django CMS feature release.

    To propose **fixes and backwards-compatible improvements**, please work on the latest **release** branch. This is
    the branch that will become the next PyPI release (""the next version of django CMS"").

    Security fixes will be backported to older branches by the core team as appropriate.",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,4,README
"********
Features
********

* hierarchical pages
* extensive built-in support for multilingual websites
* multi-site support
* draft/publish workflows
* version control
* a sophisticated publishing architecture, that's also usable in your own applications
* frontend content editing
* a hierarchical content structure for nested plugins
* an extensible navigation system that your own applications can hook into
* SEO-friendly URLs
* designed to integrate thoroughly into other applications",0,1,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,5,README
"Developing applications that integrate with and take advantage of django CMS features is easy and well-documented.

More information on `our website <https://www.django-cms.org>`_.",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,6,README
"************
Requirements
************

See the `Python/Django requirements for the current release version
<http://docs.django-cms.org/en/latest/#software-version-requirements-and-release-notes>`_ in our documentation.",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,7,README
"See the `installation how-to guide for an overview of some other requirements and dependencies of the current release
<http://docs.django-cms.org/en/latest/how_to/install.html>`_",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,8,README
"*************
Documentation
*************

We maintain documentation for several versions of the project. Key versions are:

* `stable <http://docs.django-cms.org>`_ (default), for the **current release** version
* `latest <http://docs.django-cms.org/en/latest/>`_, representing the latest build of the **release-3.4.x branch**
* `develop <http://docs.django-cms.org/en/develop/>`_, representing the latest build of the **develop branch**",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,9,README
"For more information about our branch policy, see `Branches
<http://docs.django-cms.org/en/latest/contributing/development-policies.html>`_.

Our documentation is hosted courtesy of `Read the Docs <https://readthedocs.org>`_.",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,10,README
"********
Tutorial
********

http://docs.django-cms.org/en/latest/introduction/index.html",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,11,README
"***********
Quick Start
***********

You can use the `django CMS installer <https://djangocms-installer.readthedocs.io>`_::

    $ pip install --upgrade virtualenv
    $ virtualenv env
    $ source env/bin/activate
    (env) $ pip install djangocms-installer
    (env) $ mkdir myproject && cd myproject
    (env) $ djangocms -f -p . my_demo
    (env) $ python manage.py",0,0,0,0,1,0,0,ufpa,group_m,divio_django-cms.xlsx,12,README
"************
Getting Help
************

Please head over to our IRC channel, #django-cms, on irc.freenode.net or write
to our `mailing list <https://groups.google.com/forum/#!forum/django-cms>`_.",0,0,0,1,0,0,0,ufpa,group_m,divio_django-cms.xlsx,13,README
"If you don't have an IRC client, you can `join our IRC channel using the KiwiIRC web client
<https://kiwiirc.com/client/irc.freenode.net/django-cms>`_, which works pretty well.",0,0,0,1,0,0,0,ufpa,group_m,divio_django-cms.xlsx,14,README
"******************
Commercial support
******************

This project is backed by `Divio <https://www.divio.com/en/commercial-support/>`_.
If you need help implementing or hosting django CMS, please contact us:
sales@divio.com.",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,15,README
"*******
Credits
*******

* Includes icons from `FamFamFam <http://www.famfamfam.com>`_.
* Python tree engine powered by
  `django-treebeard <https://tabo.pe/projects/django-treebeard/>`_.
* JavaScript tree in admin uses `jsTree <https://www.jstree.com>`_.
* Many thanks to the
  `over 515 contributors <https://github.com/divio/django-cms/blob/develop/AUTHORS>`_
  to the django CMS!",0,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,16,README
"##########################
Contributing to django CMS
##########################

Like every open-source project, django CMS always welcomes contributions.",1,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,2,CONTRIBUTING
"*******************************
GitHub issues and pull requests
*******************************

`GitHub issues <https://github.com/divio/django-cms/issues>`_ should only be used to report *suspected issues* in
django CMS.",1,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,3,CONTRIBUTING
"It should **not** be used for reporting *security issues* - please use `security@django-cms.org
<security@django-cms.org>`_ for those.

For *help with django CMS*, please use our `users' email list <https://groups.google.com/forum/#!forum/django-cms>`_.",1,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,4,CONTRIBUTING
"For *feature requests*, please use our `developers' email list
<https://groups.google.com/forum/#!forum/django-cms-developers>`_.",1,1,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,5,CONTRIBUTING
"**************************
Contribution documentation
**************************

We maintain comprehensive `contribution documentation <http://docs.django-cms.org/en/latest/contributing/>`_ - please
familiarise yourself with it.",1,0,0,0,0,1,0,ufpa,group_m,divio_django-cms.xlsx,6,CONTRIBUTING
"***************
Security issues
***************

Security issues should not be reported **anywhere** except via our dedicated and private `security@django-cms.org
<security@django-cms.org>`_ email address.",1,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,7,CONTRIBUTING
"If you think you have discovered a security issue in our code, please do not raise it on

* IRC
* GitHub
* Twitter
* either of our email lists

or in any other public forum until we have had a chance to deal with it.",1,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,8,CONTRIBUTING
"***************
Code of conduct
***************

django CMS is governed by a `Code of Conduct
<http://docs.django-cms.org/en/latest/contributing/code_of_conduct.html>`_. All participants in our community and its
various forums are expected to abide by it.",1,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,9,CONTRIBUTING
"*********
Community
*********

You can join us online:

* in our IRC channel, #django-cms, on ``irc.freenode.net``. If you don't have an IRC client, you can
  `join our IRC channel using the KiwiIRC web client
  <https://kiwiirc.com/client/irc.freenode.net/django-cms>`_, which works pretty well.
* on our `django CMS users email list <https://groups.google.com/forum/#!forum/django-cms>`_ for
  **general** django CMS questions and discussion
* on our `django CMS developers email list
  <https://groups.google.com/forum/#!forum/django-cms-developers>`_ for discussions about the
  **development of django CMS**",1,0,0,1,0,0,0,ufpa,group_m,divio_django-cms.xlsx,10,CONTRIBUTING
"You can also follow:

* the `Travis Continuous Integration build reports <https://travis-ci.org/divio/django-cms>`_
* the `@djangocms`_ Twitter account for general announcements

.. _@djangocms : https://twitter.com/djangocms",1,0,0,0,0,0,0,ufpa,group_m,divio_django-cms.xlsx,11,CONTRIBUTING
"# PDF.js [![Build Status](https://travis-ci.org/mozilla/pdf.js.svg?branch=master)](https://travis-ci.org/mozilla/pdf.js)

PDF.js is a Portable Document Format (PDF) viewer that is built with HTML5.

PDF.js is community-driven and supported by Mozilla Labs. Our goal is to
create a general-purpose, web standards-based platform for parsing and
rendering PDFs.",0,0,0,0,0,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,2,README
"## Contributing

PDF.js is an open source project and always looking for more contributors. To
get involved, visit:

+ [Issue Reporting Guide](https://github.com/mozilla/pdf.js/blob/master/.github/CONTRIBUTING.md)
+ [Code Contribution Guide](https://github.com/mozilla/pdf.js/wiki/Contributing)
+ [Frequently Asked Questions](https://github.com/mozilla/pdf.js/wiki/Frequently-Asked-Questions)
+ [Good Beginner Bugs](https://github.com/mozilla/pdf.js/issues?direction=desc&labels=5-good-beginner-bug&page=1&sort=created&state=open)
+ [Projects](https://github.com/mozilla/pdf.js/projects)

Feel free to stop by #pdfjs on irc.mozilla.org for questions or guidance.
",1,1,0,1,0,1,0,ufpa,group_7,mozilla_pdf.js.xlsx,3,README
"## Getting Started

### Online demo

+ https://mozilla.github.io/pdf.js/web/viewer.html",0,0,0,0,0,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,4,README
"### Browser Extensions

#### Firefox

PDF.js is built into version 19+ of Firefox.

#### Chrome

+ The official extension for Chrome can be installed from the [Chrome Web Store](https://chrome.google.com/webstore/detail/pdf-viewer/oemmndcbldboiebfnladdacbdfmadadm).
*This extension is maintained by [@Rob--W](https://github.com/Rob--W).*
+ Build Your Own - Get the code as explained below and issue `gulp chromium`. Then open
Chrome, go to `Tools > Extension` and load the (unpackaged) extension from the
directory `build/chromium`.",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,5,README
"## Getting the Code

To get a local copy of the current code, clone it using git:

    $ git clone https://github.com/mozilla/pdf.js.git
    $ cd pdf.js",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,6,README
"Next, install Node.js via the [official package](https://nodejs.org) or via
[nvm](https://github.com/creationix/nvm). You need to install the gulp package
globally (see also [gulp's getting started](https://github.com/gulpjs/gulp/blob/master/docs/getting-started.md#getting-started)):

    $ npm install -g gulp-cli",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,7,README
"If everything worked out, install all dependencies for PDF.js:

    $ npm install",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,8,README
"Finally, you need to start a local web server as some browsers do not allow opening
PDF files using a `file://` URL. Run:

    $ gulp server

and then you can open:

+ http://localhost:8888/web/viewer.html",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,9,README
"Please keep in mind that this requires an ES6 compatible browser; refer to [Building PDF.js](https://github.com/mozilla/pdf.js/blob/master/README.md#building-pdfjs) for usage with older browsers.

It is also possible to view all test PDF files on the right side by opening:

+ http://localhost:8888/test/pdfs/?frame",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,10,README
"## Building PDF.js

In order to bundle all `src/` files into two production scripts and build the generic
viewer, run:

    $ gulp generic",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,11,README
"This will generate `pdf.js` and `pdf.worker.js` in the `build/generic/build/` directory.
Both scripts are needed but only `pdf.js` needs to be included since `pdf.worker.js` will
be loaded by `pdf.js`. The PDF.js files are large and should be minified for production.",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,12,README
"## Using PDF.js in a web application

To use PDF.js in a web application you can choose to use a pre-built version of the library
or to build it from source. We supply pre-built versions for usage with NPM and Bower under
the `pdfjs-dist` name. For more information and examples please refer to the
[wiki page](https://github.com/mozilla/pdf.js/wiki/Setup-pdf.js-in-a-website) on this subject.",0,0,0,0,1,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,13,README
"## Including via a CDN

PDF.js is hosted on several free CDNs:
 - https://www.jsdelivr.com/package/npm/pdfjs-dist
 - https://cdnjs.com/libraries/pdf.js
 - https://unpkg.com/pdfjs-dist/",0,0,0,0,0,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,14,README
"## Learning

You can play with the PDF.js API directly from your browser using the live demos below:

+ [Interactive examples](https://mozilla.github.io/pdf.js/examples/index.html#interactive-examples)

More examples can be found in the [examples folder](https://github.com/mozilla/pdf.js/tree/master/examples/). Some of them are using the pdfjs-dist package, which can be built and installed in this repo directory via `gulp dist-install` command.",0,0,0,0,0,1,0,ufpa,group_7,mozilla_pdf.js.xlsx,15,README
"For an introduction to the PDF.js code, check out the presentation by our
contributor Julian Viereck:

+ https://www.youtube.com/watch?v=Iv15UY-4Fg8",0,0,0,0,0,1,0,ufpa,group_7,mozilla_pdf.js.xlsx,16,README
"More learning resources can be found at:

+ https://github.com/mozilla/pdf.js/wiki/Additional-Learning-Resources",0,0,0,0,0,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,17,README
"## Questions

Check out our FAQs and get answers to common questions:

+ https://github.com/mozilla/pdf.js/wiki/Frequently-Asked-Questions",0,0,0,0,0,0,0,ufpa,group_7,mozilla_pdf.js.xlsx,18,README
